station,latitude,longitude,trafic,ville,ligne
ABBESSES_12,3.806610117191332,52.64232376800058,2450498,Paris,12
ALESIA_4,3.804563997406261,52.60555287229497,5113245,Paris,4
ALEXANDREDUMAS_2,3.832145371217786,52.62580832935354,3668682,Paris,2
ALMAMARCEAU_9,3.7916906543386064,52.628412002958235,4561735,Paris,9
ANATOLEFRANCE_3,3.783619277940896,52.64558557121532,3734650,Levallois-Perret,3
ANVERS_2,3.80933391456156,52.64139476399159,6047635,Paris,2
ARGENTINE_1,3.786206777808331,52.635061673992645,2932605,Paris,1
ARTSETMETIERS_3,3.8155317397622,52.630439340133904,4235686,Paris,3
ARTSETMETIERS_11,3.8155317397622,52.630439340133904,4235686,Paris,11
ASNIERESGENNEVILLIERSLESCOURTILLES_13,3.781523882389523,52.670534816396774,4233814,Asnières sur Seine,13
ASSEMBLEENATIONALE_12,3.8004385962339096,52.626436006177165,1131202,Paris,12
AUBERVILLIERSPANTINQUATRECHEMINS_7,3.8289700031729454,52.656345199504024,7785492,Aubervilliers,7
AVENUEEMILEZOLA_10,3.7901057171262753,52.6167786433459,1506963,Paris,10
AVRON_2,3.833973748679051,52.622777758932834,2038056,Paris,2
BALARD_8,3.783208416017933,52.60910171669285,6028656,Paris,8
BARBESROCHECHOUART_2,3.811722999406156,52.64193115224225,9337425,Paris,2
BARBESROCHECHOUART_4,3.811722999406156,52.64193115224225,9337425,Paris,4
BASILIQUEDESTDENIS_13,3.8133992589773897,52.67650289287346,4894705,Saint Denis,13
BASTILLE_1,3.821515052634043,52.62252172212432,13172392,Paris,1
BASTILLE_5,3.821515052634043,52.62252172212432,13172392,Paris,5
BASTILLE_8,3.821515052634043,52.62252172212432,13172392,Paris,8
BELAIR_6,3.8355681020629735,52.61628452413676,2406187,Paris,6
BELLEVILLE_2,3.823734807432792,52.635256877746365,11755857,Paris,2
BELLEVILLE_11,3.823734807432792,52.635256877746365,11755857,Paris,11
